Id,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
93,198.6,132.4,0,192,0,978.4,825.5,180,41.72
94,133,210,0,196,3,949,795,28,31.03
95,425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
96,116,173,0,192,0,909.8,891.9,28,22.35
97,331,0,0,192,0,1025,821,120,39.38
98,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
99,425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
100,238,0,0,185,0,1118,789,28,17.54
101,218.9,0,124.1,158.5,11.3,1078.7,794.9,3,15.34
102,387,20,94,157,14.3,938,845,28,50.24
103,251.8,0,99.9,146.1,12.4,1006,899.8,56,44.14
104,446,24,79,162,11.6,967,712,7,38.02
105,500,0,0,200,0,1125,613,270,55.16
106,385,0,0,186,0,966,763,1,6.27
107,198.6,132.4,0,192,0,978.4,825.5,7,14.64
108,446,24,79,162,11.6,967,712,3,25.02
109,237.5,237.5,0,228,0,932,594,90,33.12
110,102,153,0,192,0,887,942,3,4.57
111,281,0,0,186,0,1104,774,7,14.5
112,218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05
113,212,0,124.8,159,7.8,1085.4,799.5,28,38.5
114,359,19,141,154,10.9,942,801,3,23.64
115,285,190,0,163,7.6,1031,685,28,53.58
116,238,0,0,186,0,1119,789,28,17.54
117,231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73
118,480,0,0,192,0,936.2,712.2,7,34.57
119,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
120,144,15,195,176,6,1021,709,28,15.34
121,255,0,0,192,0,889.8,945,28,18.75
122,307,0,0,193,0,968,812,180,34.49
123,203.5,305.3,0,203.5,0,963.4,630,7,19.54
124,322,149,0,186,8,951,709,28,52.42
125,158,0,195,220,11,898,713,28,8.54
126,289,0,0,192,0,913.2,895.3,3,11.65
127,212.6,0,100.4,159.4,10.4,1003.8,903.8,56,44.4
128,213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
129,475,0,0,228,0,932,594,180,42.62
130,222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
131,198.6,132.4,0,192,0,978.4,825.5,3,9.13
132,181.4,0,167,169.6,7.6,1055.6,777.8,100,45.37
133,376,0,0,214.6,0,1003.5,762.4,14,25.62
134,122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
135,194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
136,439,177,0,186,11.1,884.9,707.9,3,39.3
137,380,0,0,228,0,932,670,180,53.1
138,238.1,0,94.1,186.7,7,949.9,847,28,30.23
139,325,0,0,184,0,1063,783,28,30.57
140,213.7,0,174.7,154.8,10.2,1053.5,776.4,56,46.64
141,362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
142,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
143,469,117.2,0,137.8,32.2,852.1,840.5,56,69.3
144,198.6,132.4,0,192,0,978.4,825.5,90,38.07
145,300,0,0,184,0,1075,795,28,26.85
146,146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99
147,374,189.2,0,170.1,10.1,926.1,756.7,56,63.4
148,362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
149,194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
150,165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
151,425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
152,310,0,0,192,0,1012,830,3,11.85
153,475,0,0,228,0,932,594,270,42.13
154,286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
155,389.9,189,0,145.9,22,944.7,755.8,56,79.4
156,266,114,0,228,0,932,670,270,51.73
157,166.8,250.2,0,203.5,0,975.6,692.6,3,6.9
158,165,0,143.6,163.8,0,1005.6,900.9,100,37.96
159,295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23
160,249.1,0,98.8,158.1,12.8,987.8,889,3,15.36
161,356,119,0,160,9,1061,657,28,59
162,153,102,0,192,0,888,943.1,3,4.78
163,305,0,100,196,10,959,705,28,30.12
164,212.6,0,100.4,159.4,10.4,1003.8,903.8,3,13.33
165,297.2,0,117.5,174.8,9.5,1022.8,753.5,3,21.91
166,167,75.4,167,164,7.9,1007.3,770.1,3,15.52
167,275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77
168,304,76,0,228,0,932,670,90,49.19
169,314,0,113,170,10,925,783,28,38.46
170,153,102,0,192,0,888,943.1,90,26.32
171,305.3,203.5,0,203.5,0,965.4,631,28,43.38
172,236,157,0,192,0,972.6,749.1,28,32.88
173,388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6
174,505,0,60,195,0,1030,630,28,64.02
175,401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7
176,491,26,123,210,3.9,882,699,56,59.59
177,376,0,0,214.6,0,1003.5,762.4,28,31.97
178,250,180,95,159,9.5,860,800,28,67.87
179,322,0,0,203,0,974,800,14,20.77
180,213.5,0,174.2,159.2,11.7,1043.6,771.9,3,15.61
181,446,24,79,162,11.6,967,712,56,56.14
182,277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14
183,295,0,0,185,0,1069,769,28,25.18
184,475,0,0,162,9.5,1044,662,28,58.52
185,277,117,91,191,7,946,666,28,43.57
186,425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
187,139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
188,525,0,0,189,0,1125,613,90,58.78
189,153,102,0,192,0,888,943.1,28,17.96
190,387,20,94,157,11.6,938,845,56,61.46
191,254,0,0,198,0,968,863,90,26.94
192,202,11,141,206,1.7,942,801,3,9.85
193,153.1,145,113,178.5,8,1001.9,688.7,28,25.56
194,165,0,143.6,163.8,0,1005.6,900.9,28,26.2
195,362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
196,122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
197,312.7,0,0,178.1,8,999.7,822.2,28,25.1
198,296,0,0,192,0,1085,765,28,21.65
199,389.9,189,0,145.9,22,944.7,755.8,28,74.5
200,212.6,0,100.4,159.4,10.4,1003.8,903.8,100,47.74
201,250,0,95.7,187.4,5.5,956.9,861.2,14,24.92
202,313,145,0,178,8,867,824,28,44.39
203,427.5,47.5,0,228,0,932,594,90,41.54
204,157,236,0,192,0,935.4,781.2,7,16.89
205,332.5,142.5,0,228,0,932,594,180,39.78
206,388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9
207,194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
208,251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94
209,122.6,183.9,0,203.5,0,958.2,800.1,28,24.29
210,491,26,123,201,3.9,822,699,28,57.92
211,222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58
212,212,0,124.8,159,7.8,1085.4,799.5,100,47.82
213,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
214,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
215,480,0,0,192,0,936.2,712.2,90,54.32
216,322.5,148.6,0,185.8,8.5,951,709.5,28,52.43
217,238,0,0,186,0,1119,789,7,12.05
218,385,0,0,186,0,966,763,14,27.92
219,157,214,152,200,9,819,704,28,33.05
220,210.7,316.1,0,185.7,0,977,689.3,7,21.82
221,230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
222,385,0,0,186,0,966,763,3,14.7
223,374,189.2,0,170.1,10.1,926.1,756.7,28,61.09
224,350,0,0,203,0,974,775,14,22.53
225,165,0,150,182,12,1023,729,28,18.03
226,145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74
227,304.8,0,99.6,196,9.8,959.4,705.2,28,30.12
228,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
229,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
230,389.9,189,0,145.9,22,944.7,755.8,7,59.09
231,212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92
232,251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98
233,380,95,0,228,0,932,594,270,41.15
234,149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
235,150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43
236,540,0,0,162,2.5,1055,676,28,61.89
237,387,20,94,157,11.6,938,845,7,41.67
238,186.2,124.1,0,185.7,0,1083.4,764.3,7,8
239,151,0,184,167,12,991,772,28,15.57
240,379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9
241,475,118.8,0,181.1,8.9,852.1,781.5,56,72.3
242,326,166,0,174,9,882,790,28,61.23
243,288,192,0,192,0,932,717.8,3,16.11
244,251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
245,155,0,143,193,9,1047,697,28,12.46
246,203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96
247,350,0,0,203,0,974,775,28,27.34
248,284,119.7,0,168.3,7.2,970.4,794.2,28,40.93
249,186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6
250,425,106.3,0,151.4,18.6,936,803.7,28,61.8
251,190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72
252,281,0,0,186,0,1104,774,28,22.44
253,158.8,238.2,0,185.7,0,1040.6,734.3,7,9.62
254,362.6,189,0,164.9,11.6,944.7,755.8,7,22.9
255,252.3,0,98.8,146.3,14.2,987.8,889,3,21.78
256,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
257,192,288,0,192,0,929.8,716.1,7,21.48
258,332.5,142.5,0,228,0,932,594,270,40.27
259,337.9,189,0,174.9,9.5,944.7,755.8,56,59.89
260,237.5,237.5,0,228,0,932,594,180,36.25
261,312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.45
262,376,0,0,214.6,0,1003.5,762.4,3,16.28
263,250,0,0,182,0,1100,820,28,20.87
264,250.2,166.8,0,203.5,0,977.6,694.1,28,36.96
265,500,0,0,200,0,1125,613,180,51.04
266,331,0,0,192,0,1025,821,28,31.74
267,397,0,0,185,0,1040,734,28,39.09
268,160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31
269,425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
270,401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5
271,318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
272,280,129,100,172,9,825,805,28,52.82
273,218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22
274,322,0,0,203,0,974,800,180,29.59
275,251.4,0,118.3,192.9,5.8,1043.6,754.3,14,20.73
276,166,260,0,183,13,859,827,28,37.91
277,255,0,0,192,0,889.8,945,90,21.86
278,246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22
279,160,250,0,168,12,1049,688,28,39.45
280,230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
281,540,0,0,173,0,1125,613,90,69.66
282,297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.4
283,500.1,0,0,200,3,1124.4,613.2,28,44.13
284,300,0,0,184,0,1075,795,7,15.58
285,385,0,0,186,0,966,763,7,23.22
286,332.5,142.5,0,228,0,932,594,365,41.05
287,251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36
288,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
289,295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
290,143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
291,139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44
292,158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
293,252.5,0,0,185.7,0,1111.6,784.3,7,11.48
294,181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57
295,266,114,0,228,0,932,670,365,52.91
296,475,118.8,0,181.1,8.9,852.1,781.5,28,68.3
297,469,117.2,0,137.8,32.2,852.1,840.5,91,70.7
298,385,0,136,158,20,903,768,28,55.55
299,141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
300,164,0,200,181,13,849,846,28,15.09
301,323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
302,382,0,0,186,0,1047,739,28,37.42
303,439,177,0,186,11.1,884.9,707.9,56,71.7
304,233.8,0,94.6,197.9,4.6,947,852.2,28,22.84
305,164.2,0,200.1,181.2,12.6,849.3,846,28,15.09
306,290.2,193.5,0,185.7,0,998.2,704.3,28,33.04
307,213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
308,525,0,0,189,0,1125,613,28,55.94
309,277,0,0,191,0,968,856,14,21.26
310,145.9,230.5,0,202.5,3.4,827,871.8,28,32.72
311,142,167,130,174,11,883,785,28,44.61
312,339,0,0,197,0,968,781,3,13.22
313,334,17.6,158,189,15.3,967,633,28,44.33
314,230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03
315,350,0,0,203,0,974,775,7,18.13
316,310,0,0,192,0,970,850,360,38.11
317,425,106.3,0,151.4,18.6,936,803.7,56,64.9
318,298.1,0,107,186.4,6.1,879,815.2,28,42.64
319,349,0,0,192,0,1047,806,3,14.99
320,531.3,0,0,141.8,28.2,852.1,893.7,28,56.4
321,153,145,113,178,8,1002,689,28,25.56
322,136,196,98,199,6,847,783,28,26.97
323,154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46
324,145,0,134,181,11,979,812,28,13.2
325,149.5,236,0,175.8,12.6,846.8,892.7,28,32.96
326,362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
327,259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
328,331,0,0,192,0,978,825,90,37.23
329,379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2
330,321,0,128,182,11,870,780,28,37.26
331,339,0,0,197,0,968,781,180,36.45
332,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
333,154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74
334,162,190,148,179,19,838,741,28,33.76
335,237,92,71,247,6,853,695,28,28.63
336,331,0,0,192,0,978,825,180,39
337,159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46
338,133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
339,491,26,123,201,3.9,822,699,7,37.92
340,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
341,393,0,0,192,0,940,758,3,19.11
342,469,117.2,0,137.8,32.2,852.1,840.5,7,54.9
343,192,288,0,192,0,929.8,716.1,90,50.73
344,246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5
345,212,0,124.8,159,7.8,1085.4,799.5,14,31.35
346,212,141.3,0,203.5,0,973.4,750,3,6.81
347,286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4
348,393,0,0,192,0,940.6,785.6,3,19.2
349,230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
350,190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72
351,272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38
352,275.1,0,121.4,159.5,9.9,1053.6,777.5,56,56.85
353,265,111,86,195,6,833,790,28,41.54
354,337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
355,238.1,0,94.1,186.7,7,949.9,847,3,19.93
356,313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
357,331,0,0,192,0,978,825,360,41.24
358,167,75.4,167,164,7.9,1007.3,770.1,14,32.9
359,153,145,0,178,8,1000,822,28,19.01
360,225,0,0,181,0,1113,833,28,17.34
361,540,0,0,173,0,1125,613,3,41.64
362,446,24,79,162,10.3,967,712,28,53.39
363,273,0,90,199,11,931,762,28,32.24
364,425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
365,153,145,113,178,8,867,824,28,26.23
366,331,0,0,192,0,978,825,28,31.45
367,362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
368,332.5,142.5,0,228,0,932,594,90,37.72
369,212,0,124.8,159,7.8,1085.4,799.5,56,45.08
370,149,153,194,192,8,935,623,28,24.58
371,246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42
372,250,0,95.7,187.4,5.5,956.9,861.2,3,13.82
373,339,0,0,197,0,968,781,365,38.89
374,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
375,425,106.3,0,151.4,18.6,936,803.7,3,36.3
376,318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1
377,229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
378,236,0,0,194,0,968,885,3,6.47
379,318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5
380,425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
381,251.8,0,99.9,146.1,12.4,1006,899.8,100,45.37
382,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
383,200,133,0,192,0,965.4,806.2,7,17.17
384,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
385,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
386,254,0,0,198,0,968,863,180,27.63
387,135,105,193,196,6,965,643,28,21.91
388,323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2
389,213.7,0,174.7,154.8,10.2,1053.5,776.4,100,50.08
390,298,0,107,186,6,879,815,28,42.64
391,337.9,189,0,174.9,9.5,944.7,755.8,3,24.1
392,266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42
393,379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5
394,238.1,0,94.1,186.7,7,949.9,847,100,44.3
395,151,0,185,167,16,1074,678,28,13.46
396,252.3,0,98.8,146.3,14.2,987.8,889,100,60.95
397,290.4,0,96.2,168.1,9.4,961.2,865,100,48.97
398,251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12
399,238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69
400,212.5,0,100.4,159.3,8.7,1007.8,903.6,100,42.92
401,251.8,0,99.9,146.1,12.4,1006,899.8,3,21.02
402,450.1,50,0,200,3,1124.4,613.2,28,39.38
403,135.7,203.5,0,185.7,0,1076.2,759.3,7,7.51
404,250.2,166.8,0,203.5,0,977.6,694.1,7,19.35
405,165,0,143.6,163.8,0,1005.6,900.9,3,14.4
406,374,0,0,190,7,1013,730,28,39.05
407,255.5,170.3,0,185.7,0,1026.6,724.3,28,32.05
408,266,114,0,228,0,932,670,180,48.7
409,250,0,95.7,191.8,5.3,948.9,857.2,3,8.49
410,202,11,141,206,1.7,942,801,28,21.97
411,424,22,132,178,8.5,822,750,28,62.05
412,164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03
413,397,0,0,186,0,1040,734,28,36.94
414,139.6,209.4,0,192,0,1047,806.9,180,44.21
415,375,0,0,186,0,1038,758,28,38.21
416,213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
417,202,11,141,206,1.7,942,801,56,23.25
418,331,0,0,192,0,978,825,7,16.26
419,277.1,0,97.4,160.6,11.8,973.9,875.6,14,41.89
420,275,0,0,183,0,1088,808,7,14.2
421,298,0,107,164,13,953,784,28,35.86
422,295.8,0,0,185.7,0,1091.4,769.3,7,14.84
423,349,0,0,192,0,1047,806,180,41.05
424,339,0,0,197,0,968,781,28,32.04
425,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
426,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
427,284,15,141,179,5.5,842,801,7,24.13
428,220.8,147.2,0,185.7,0,1055,744.3,28,25.75
429,194.7,0,100.5,170.2,7.5,998,901.8,100,44.28
430,231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84
431,153,239,0,200,6,1002,684,28,26.86
432,290.4,0,96.2,168.1,9.4,961.2,865,28,34.74
433,165,0,143.6,163.8,0,1005.6,900.9,56,36.56
434,164,163,128,197,8,961,641,28,27.23
435,296,0,0,186,0,1090,769,7,18.91
436,531.3,0,0,141.8,28.2,852.1,893.7,3,41.3
437,218.9,0,124.1,158.5,11.3,1078.7,794.9,100,46.23
438,326.5,0,137.9,199,10.8,801.1,792.5,28,38.63
439,359,19,141,154,10.9,942,801,7,38.61
440,183.9,122.6,0,203.5,0,959.2,800,28,24.05
441,287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
442,299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.84
443,295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
444,212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37
445,382,0,0,186,0,1111,784,7,11.47
446,339,0,0,197,0,968,781,14,27.04
447,286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
448,326,0,138,199,11,801,792,28,40.68
449,425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
450,228,342.1,0,185.7,0,955.8,674.3,28,39.7
451,156,243,0,180,11,1022,698,28,37.36
452,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
453,251.4,0,118.3,188.5,5.8,1028.4,757.7,100,43.58
454,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
455,436,0,0,218,0,838.4,719.7,28,23.85
456,181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
457,296,0,106.7,221.4,10.5,819.2,778.4,28,31.42
458,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
459,362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
460,342,38,0,228,0,932,670,180,52.12
461,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
462,136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
463,218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27
464,173,116,0,192,0,946.8,856.8,28,24.28
465,531.3,0,0,141.8,28.2,852.1,893.7,56,58.8
466,313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46
467,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
468,149,139,109,193,6,892,780,28,23.69
469,362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
470,318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4
471,168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
