id,year,month,date,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel,day,popularity
80,1,1,8,10,414,0.606796115,0.999999996,0.777343747,8,0,1,0,4.980676329,6,world,tuesday,0
83,1,1,8,12,499,0.513026051,,0.662251653,14,1,1,0,5.084168337,10,lifestyle,tuesday,0
84,1,1,8,9,268,0.477272725,0.999999994,0.587878784,5,2,9,0,4.858208955,10,technology,tuesday,0
85,1,1,8,7,925,0.427947598,0.999999998,,20,20,20,0,4.673513514,8,technology,tuesday,1
86,1,1,8,10,261,0.548262546,0.999999995,,20,3,,0,4.850574713,7,other,tuesday,1
87,1,1,8,13,306,0.534653464,0.999999995,,3,2,1,0,4.578431373,10,bussiness,tuesday,0
88,1,1,8,10,909,0.449612403,0.999999998,,3,2,1,1,4.343234323,5,entertainment,tuesday,1
89,1,1,8,12,999,0.424089068,,,21,20,20,0,4.736736737,7,technology,tuesday,0
90,1,1,8,12,1011,0.413897281,,0.546325878,20,20,20,0,4.582591494,7,technology,tuesday,0
91,1,1,9,10,413,0.606435642,,0.728571426,6,1,13,0,4.702179177,6,entertainment,wednesday,0
92,1,1,9,9,180,0.6300578,0.999999989,0.82022471,1,1,0,0,4.361111111,7,technology,wednesday,0
93,1,1,9,9,759,0.498666666,0.999999998,0.692810456,17,9,1,0,4.657444005,6,bussiness,wednesday,0
94,1,1,9,13,1226,0.43619683,,0.645863569,26,0,,0,4.501631321,8,technology,wednesday,1
95,1,1,9,6,241,0.659574465,0.999999993,0.815068488,5,5,1,0,4.850622407,5,entertainment,wednesday,1
96,1,1,9,9,168,0.778481008,0.99999999,,6,4,11,0,4.678571429,9,social media,wednesday,1
97,1,1,9,10,1121,0.418099547,0.999999999,0.562322945,20,20,19,0,4.609277431,8,technology,wednesday,0
99,1,1,9,7,376,0.569014083,0.999999996,0.686695276,3,,0,11,4.457446809,9,entertainment,wednesday,1
100,1,1,9,9,142,0.714285709,0.999999986,0.917808207,3,2,0,1,4.542253521,6,other,wednesday,0
101,1,1,9,9,825,0.438036809,0.999999998,,23,21,19,0,4.736969697,10,other,wednesday,0
102,1,1,9,9,883,0.441753171,,,19,19,19,0,4.702151755,8,technology,wednesday,0
104,1,1,9,10,498,0.534979423,0.999999997,0.701694913,7,0,1,0,4.881526104,6,world,wednesday,0
106,1,1,9,12,855,0.438534278,0.999999998,,5,0,,0,4.300584795,8,entertainment,wednesday,0
107,1,1,9,11,223,0.662162159,,,5,,0,0,4.551569507,6,lifestyle,wednesday,1
108,1,1,9,11,349,0.583333332,,0.71363636,10,4,1,0,4.802292264,5,entertainment,wednesday,0
109,1,1,9,7,1007,0.437751004,0.999999998,0.565084226,24,23,20,0,4.793445879,10,lifestyle,wednesday,0
111,1,1,9,9,233,0.552884613,0.999999992,0.714285709,5,1,1,0,4.635193133,4,bussiness,wednesday,1
113,1,1,9,11,825,0.476600985,0.999999998,,5,3,10,1,4.419393939,8,other,wednesday,1
114,1,1,9,11,1099,0.412304866,0.999999999,,28,,20,0,4.583257507,10,lifestyle,wednesday,0
115,1,1,9,7,263,0.623076921,0.999999993,,2,1,0,0,4.353612167,10,technology,wednesday,0
116,1,1,9,10,468,0.534216334,,0.722433457,7,6,1,0,4.52991453,5,bussiness,wednesday,1
117,1,1,9,7,346,0.564564563,0.999999995,,13,2,11,0,4.274566474,6,other,wednesday,1
118,1,1,9,9,455,0.495594713,0.999999996,,10,5,,0,4.694505495,9,lifestyle,wednesday,1
119,1,1,9,9,81,0.78749999,0.99999998,0.939999981,2,1,0,0,4.518518519,8,entertainment,wednesday,0
121,1,1,9,11,235,0.643776821,0.999999993,0.801369858,5,4,0,0,5.09787234,10,technology,wednesday,1
122,1,1,9,13,141,0.643939389,0.999999988,0.790123447,6,1,1,0,4.588652482,6,technology,wednesday,1
123,1,1,9,6,389,0.555555554,,0.725581392,9,5,1,1,4.316195373,7,world,wednesday,1
124,1,1,9,10,261,0.598455596,,,12,9,,0,5.149425287,8,world,wednesday,1
125,1,1,9,9,100,0.759999992,0.999999984,0.803278675,3,2,1,0,4.45,6,social media,wednesday,1
126,1,1,9,8,270,0.600775191,,,5,4,1,11,4.259259259,10,entertainment,wednesday,1
127,1,1,9,7,105,0.819047611,0.999999988,0.862499989,4,2,8,0,5.419047619,6,other,wednesday,1
129,1,1,9,10,254,0.627530362,,,5,1,0,3,4.625984252,10,entertainment,wednesday,1
130,1,1,9,14,318,0.633440512,,0.837837833,7,,,0,4.427672956,7,lifestyle,wednesday,1
131,1,1,9,9,965,0.435146443,0.999999998,,20,20,19,0,4.755440415,9,technology,wednesday,1
132,1,1,9,11,1030,0.418627451,0.999999998,0.54736842,19,,20,0,4.616504854,7,technology,wednesday,0
133,1,1,9,9,231,0.635964909,,0.826446274,1,1,0,0,4.168831169,10,entertainment,wednesday,0
134,1,1,9,8,935,0.442036836,,0.567213114,23,22,28,0,4.746524064,9,technology,wednesday,0
135,1,1,9,10,701,0.480575539,0.999999997,,11,,1,1,4.457917261,7,technology,wednesday,1
136,1,1,9,13,328,0.570552145,0.999999995,0.67924528,13,1,11,1,4.765243902,8,other,wednesday,1
137,1,1,9,13,281,0.605263156,0.999999994,0.733333329,28,3,10,1,4.558718861,7,other,wednesday,1
138,1,1,9,12,537,0.538175046,0.999999997,0.742038214,2,,,0,4.983240223,6,world,wednesday,0
139,1,1,9,10,259,0.640624997,0.999999994,0.840764326,4,2,0,0,4.760617761,10,world,wednesday,0
141,1,1,9,10,1596,0.419729207,0.999999999,,19,10,8,0,4.632205514,6,social media,wednesday,1
142,1,1,9,6,164,0.587837834,,0.691489354,3,1,1,0,4.652439024,3,bussiness,wednesday,1
143,1,1,9,10,424,0.552567236,,0.676470586,8,0,1,0,4.981132075,6,bussiness,wednesday,0
144,1,1,9,8,345,0.603658535,0.999999995,,6,3,1,0,4.431884058,4,entertainment,wednesday,1
145,1,1,9,10,138,0.753731338,,,1,1,0,1,4.65942029,6,other,wednesday,0
146,1,1,9,11,459,0.563192903,,0.737226275,10,,,0,4.810457516,7,world,wednesday,1
147,1,1,9,8,794,0.503176619,0.999999998,0.67151767,32,4,15,0,4.832493703,9,other,wednesday,1
150,1,1,9,7,144,0.722627732,0.999999987,0.857142846,9,6,1,0,4.826388889,10,lifestyle,wednesday,0
151,1,1,9,12,249,0.597560973,0.999999993,0.732876707,2,0,0,0,4.542168675,5,entertainment,wednesday,1
152,1,1,9,7,142,0.732394361,0.999999988,,4,2,0,1,4.612676056,6,other,wednesday,0
153,1,1,9,10,221,0.579999997,,,2,2,1,0,4.140271493,7,technology,wednesday,1
154,1,1,9,9,82,0.786666656,0.99999998,0.836734677,3,3,1,0,4.951219512,10,technology,wednesday,0
155,1,1,9,11,289,0.649122805,,0.776699025,3,2,13,0,4.747404844,10,entertainment,wednesday,0
156,1,1,9,11,173,0.723529408,0.999999991,,3,2,1,0,4.936416185,10,bussiness,wednesday,1
157,1,1,9,10,957,0.441860465,0.999999998,0.575609755,22,22,20,0,4.787878788,6,technology,wednesday,0
158,1,1,9,10,372,0.548648647,0.999999996,0.689361699,4,0,1,0,5.032258065,5,world,wednesday,1
159,1,1,9,8,640,0.528481012,,,10,,1,0,4.3125,9,other,wednesday,0
160,1,1,9,9,330,0.501597442,0.999999995,,12,2,1,0,4.657575758,7,bussiness,wednesday,0
161,1,1,9,8,453,0.51460674,,,2,2,9,0,4.46799117,10,technology,wednesday,0
162,1,1,9,11,1265,0.400796812,,,21,21,20,0,4.54229249,7,technology,wednesday,0
163,1,1,9,12,981,0.433884297,,,20,20,20,0,4.758409786,7,technology,wednesday,0
164,1,1,9,10,381,0.546174141,0.999999995,,8,0,1,0,4.847769029,6,bussiness,wednesday,1
165,1,1,9,12,292,0.626334517,,,5,2,0,0,4.493150685,10,technology,wednesday,1
166,1,1,9,9,165,0.654545451,,0.835164826,8,7,1,0,4.575757576,4,entertainment,wednesday,1
168,1,1,9,9,230,0.669603521,0.999999992,0.878787872,7,0,1,1,4.795652174,7,world,wednesday,0
170,1,1,9,8,258,0.61478599,,,2,1,1,0,4.569767442,9,technology,wednesday,1
171,1,1,9,12,983,0.440782698,,0.57852564,21,21,19,0,4.695829095,10,lifestyle,wednesday,0
173,1,1,9,11,272,0.524344567,0.999999995,0.576354677,5,2,8,0,5.113970588,9,entertainment,wednesday,1
176,1,1,9,14,114,0.799999993,,0.874999988,1,1,,1,4.815789474,9,other,wednesday,1
177,1,1,9,11,1058,0.409961685,,,26,23,20,0,4.669187146,10,lifestyle,wednesday,1
178,1,1,9,8,211,0.607655499,0.999999991,0.778761055,12,6,1,0,4.431279621,10,lifestyle,wednesday,0
179,1,1,9,12,373,0.5613079,,0.678260867,7,5,0,0,4.855227882,8,bussiness,wednesday,0
180,1,1,10,7,144,0.591549292,,,12,6,1,0,4.777777778,8,entertainment,thursday,0
181,1,1,10,9,760,0.531628532,,0.750577365,9,4,0,16,4.382894737,8,other,thursday,0
183,1,1,10,15,481,0.54105263,,0.707142855,5,3,1,0,4.594594595,7,bussiness,thursday,0
184,1,1,10,12,246,0.702127657,,0.849673197,8,3,1,0,4.43902439,6,entertainment,thursday,0
185,1,1,10,10,182,0.59668508,,0.676470582,5,2,1,1,4.917582418,6,technology,thursday,0
186,1,1,10,10,498,0.522821576,,,9,0,1,0,4.676706827,9,bussiness,thursday,1
187,1,1,10,7,175,0.685714282,0.999999991,0.823008842,4,0,1,0,5.497142857,7,lifestyle,thursday,0
188,1,1,10,7,252,0.6626506,0.999999993,,5,2,0,0,4.682539683,9,entertainment,thursday,1
189,1,1,10,9,334,0.625377642,0.999999995,,7,5,1,0,4.847305389,6,lifestyle,thursday,0
191,1,1,10,12,284,0.602941174,0.999999995,,10,9,1,0,4.616197183,7,bussiness,thursday,0
192,1,1,10,11,1077,0.438381937,0.999999999,,23,20,20,0,4.763231198,5,bussiness,thursday,1
193,1,1,10,6,1160,0.437225636,0.999999999,0.565159574,45,38,19,0,4.740517241,10,technology,thursday,0
194,1,1,10,10,289,0.58695652,,0.724550894,8,7,1,0,4.564013841,7,technology,thursday,1
195,1,1,10,11,848,0.449464922,0.999999998,0.713947989,4,4,1,3,4.192216981,5,entertainment,thursday,0
196,1,1,10,12,211,0.682692304,0.999999992,,10,8,0,0,4.606635071,6,technology,thursday,1
197,1,1,10,10,951,0.437295528,,0.57785467,6,0,1,0,5.03785489,8,technology,thursday,1
198,1,1,10,11,286,0.652631577,0.999999994,,5,,0,0,5.006993007,8,technology,thursday,1
201,1,1,10,8,255,0.623015871,0.999999993,,6,1,1,0,4.415686275,5,bussiness,thursday,0
202,1,1,10,14,252,0.670634918,0.999999994,,8,5,0,0,4.634920635,9,lifestyle,thursday,0
205,1,1,10,10,357,0.525423727,0.999999996,0.650442475,6,4,1,0,4.946778711,5,world,thursday,1
206,1,1,10,13,326,0.696969695,0.999999995,0.79439252,3,2,0,21,4.355828221,6,,thursday,0
207,1,1,10,8,1314,0.399529042,,0.534969324,27,27,20,0,4.656773212,10,lifestyle,thursday,0
208,1,1,10,6,397,0.51168831,,0.660944203,11,0,1,0,5.352644836,8,lifestyle,thursday,1
209,1,1,10,8,767,0.440318302,,0.614318705,6,2,10,0,4.47327249,8,technology,thursday,1
210,1,1,10,10,317,0.56190476,0.999999995,,6,3,1,0,4.993690852,7,world,thursday,1
211,1,1,10,9,245,0.579399139,0.999999993,,15,3,10,1,4.253061224,4,other,thursday,1
212,1,1,10,10,891,0.438063063,,,10,,1,0,4.768799102,7,entertainment,thursday,0
213,1,1,10,7,1121,0.441923775,,0.622727272,12,12,1,0,4.694023194,10,technology,thursday,1
215,1,1,10,13,309,0.618892506,,0.754010691,7,0,1,0,4.682847896,9,technology,thursday,1
216,1,1,10,9,174,0.619883037,,,8,5,1,0,4.5,9,lifestyle,thursday,1
217,1,1,10,11,159,0.759493666,,0.895833324,9,,1,0,4.893081761,7,other,thursday,0
218,1,1,10,8,449,0.502252251,0.999999997,,38,3,15,0,5.307349666,7,other,thursday,1
219,1,1,10,13,243,0.654008436,0.999999992,0.849624054,4,2,0,1,4.201646091,7,entertainment,thursday,0
220,1,1,10,9,222,0.665024627,,0.75555555,7,,1,1,4.630630631,6,entertainment,thursday,0
221,1,1,10,12,160,0.647798738,,0.850574703,2,1,0,1,4.19375,8,bussiness,thursday,0
222,1,1,10,8,1015,0.484143763,,,38,7,11,3,4.953694581,9,entertainment,thursday,0
223,1,1,10,8,344,0.563049852,,0.692682923,14,,1,0,4.840116279,10,lifestyle,thursday,1
224,1,1,10,10,1028,0.408102766,0.999999998,0.52688172,29,27,20,0,4.588521401,9,lifestyle,thursday,1
225,1,1,10,11,347,0.584569731,0.999999995,,7,0,0,1,5.069164265,7,bussiness,thursday,0
226,1,1,10,8,848,0.444576877,0.999999998,0.560143626,21,21,20,0,4.751179245,9,technology,thursday,1
227,1,1,10,11,255,0.631578945,0.999999993,,5,0,1,0,4.858823529,5,bussiness,thursday,0
228,1,1,10,8,424,0.640096617,0.999999996,,12,0,,0,4.641509434,6,other,thursday,0
229,1,1,10,8,1289,0.359905288,,0.540697674,7,7,5,0,4.241272304,8,technology,thursday,1
230,1,1,10,10,286,0.552631577,,,3,2,,0,4.384615385,6,world,thursday,1
231,1,1,10,10,347,0.516717324,0.999999995,0.668341705,3,2,,0,4.665706052,5,,thursday,0
232,1,1,10,10,280,0.579925648,0.999999994,,6,4,0,11,4.142857143,7,other,thursday,0
233,1,1,10,8,396,0.501278771,,0.624472571,5,,1,0,4.5,10,entertainment,thursday,0
234,1,1,10,7,665,0.595166162,0.999999998,,3,1,1,0,5.885714286,10,entertainment,thursday,1
237,1,1,10,12,270,0.576923075,,0.708609267,6,4,1,0,4.714814815,10,lifestyle,thursday,0
238,1,1,10,8,322,0.666666664,0.999999995,0.783919594,6,3,1,11,4.145962733,8,other,thursday,0
239,1,1,10,7,518,0.486434108,0.999999997,0.654109587,11,1,,0,4.78957529,7,social media,thursday,0
240,1,1,10,16,487,0.519587628,0.999999996,,6,3,1,0,4.480492813,4,bussiness,thursday,0
241,1,1,10,11,264,0.567567565,,,6,1,1,0,4.386363636,6,other,thursday,1
242,1,1,10,11,149,0.673913039,,,3,2,,0,3.89261745,8,technology,thursday,1
243,1,1,10,12,62,0.88709676,0.999999976,0.926829246,3,2,0,1,4.870967742,6,other,thursday,0
244,1,1,10,8,75,0.853333322,0.999999978,0.978260848,2,,0,1,4.466666667,5,other,thursday,0
245,1,1,10,16,143,0.706293701,0.999999988,0.891566254,2,1,0,1,4.20979021,6,bussiness,thursday,0
246,1,1,10,7,1154,0.419072616,0.999999999,0.566248256,23,23,19,0,4.66897747,8,technology,thursday,1
248,1,1,10,8,494,0.452138492,,0.5916955,6,3,1,0,4.722672065,8,bussiness,thursday,1
249,1,1,10,12,213,0.647887321,0.999999991,0.874999992,2,0,0,1,4.20657277,5,other,thursday,1
250,1,1,10,11,180,0.655367228,0.99999999,,2,1,1,1,4.272222222,7,technology,thursday,0
252,1,1,10,7,606,0.482470784,,0.659279777,7,3,1,0,4.51980198,3,bussiness,thursday,1
253,1,1,10,9,339,0.680645159,,0.859374996,4,2,0,21,4.306784661,7,other,thursday,1
254,1,1,10,8,279,0.609318994,0.999999994,0.771084333,13,3,1,0,5.086021505,6,lifestyle,thursday,1
255,1,1,10,9,340,0.567567566,,0.786127163,2,2,,0,4.3,6,technology,thursday,0
256,1,1,10,8,962,0.47368421,0.999999998,0.689781021,14,0,1,0,4.828482328,6,technology,thursday,1
257,1,1,10,12,135,0.694029846,0.999999986,0.878378367,2,,0,0,4.340740741,9,technology,thursday,1
258,1,1,10,12,185,0.65384615,0.999999991,0.745614029,4,3,,0,4.518918919,6,technology,thursday,0
259,1,1,10,12,344,0.551319646,0.999999995,,2,,1,0,4.755813953,6,bussiness,thursday,0
260,1,1,11,12,698,0.498533724,0.999999998,0.656884874,13,8,1,0,4.610315186,10,bussiness,friday,1
261,1,1,11,13,310,0.612456745,0.999999995,,4,1,0,12,4.558064516,7,other,friday,1
262,1,1,11,8,461,0.549999999,,0.704626332,8,0,1,0,5.078091106,5,world,friday,0
264,1,1,11,10,294,0.703007516,0.999999994,0.842696624,4,3,0,21,4.360544218,7,other,friday,1
266,1,1,11,10,682,0.487369984,0.999999997,0.682619646,11,4,1,0,4.608504399,7,bussiness,friday,1
267,1,1,11,10,349,0.541916166,,0.749999996,10,7,,0,4.386819484,10,lifestyle,friday,0
269,1,1,11,13,220,0.602803736,0.999999992,0.682170537,5,3,,0,4.918181818,6,technology,friday,1
271,1,1,11,12,341,0.498470946,,0.601809952,4,,1,1,4.671554252,10,entertainment,friday,1
272,1,1,11,9,537,0.503952568,,0.601626015,3,2,13,0,4.884543762,9,world,friday,1
273,1,1,11,8,358,0.502857141,,,4,4,1,0,4.254189944,4,social media,friday,1
274,1,1,11,11,221,0.660550456,0.999999994,,8,6,1,0,4.895927602,10,entertainment,friday,0
275,1,1,11,10,195,0.618556698,0.999999992,0.721311469,5,3,1,0,4.882051282,5,technology,friday,0
276,1,1,11,10,604,0.433774834,,0.588405795,13,,1,0,4.594370861,7,lifestyle,friday,1
277,1,1,11,11,707,0.446043165,,0.615012105,3,2,1,0,4.405940594,8,technology,friday,1
278,1,1,11,10,331,0.649230767,0.999999995,0.813084108,8,0,1,0,5.117824773,6,world,friday,0
279,1,1,11,9,529,0.460348162,,0.589665652,2,1,18,0,4.65973535,8,technology,,1
280,1,1,11,6,358,0.622478384,0.999999995,,24,6,1,0,5.391061453,8,social media,friday,1
281,1,1,11,11,877,0.433734939,0.999999998,0.584120982,45,8,1,1,5.095781072,8,world,friday,0
283,1,1,11,14,233,0.570815448,,0.629870126,10,1,7,0,4.789699571,6,other,friday,1
285,1,1,11,8,148,0.72108843,0.99999999,,6,2,0,1,4.72972973,10,entertainment,friday,0
286,1,1,11,10,315,0.617834393,0.999999995,0.741116748,3,,1,0,5.066666667,6,entertainment,friday,1
287,1,1,11,14,696,0.480463096,,,5,1,1,0,4.017241379,7,world,friday,0
288,1,1,11,11,98,0.744897952,0.999999982,,1,0,0,1,4.704081633,7,other,friday,1
289,1,1,11,7,719,0.492329149,,,13,5,1,0,4.650904033,10,lifestyle,friday,1
290,1,1,11,11,1364,0.388026607,0.999999999,0.534360189,23,23,28,0,4.615102639,10,technology,friday,1
292,1,1,11,12,324,0.592948716,,0.707070704,6,4,0,11,4.194444444,7,other,friday,1
293,1,1,11,11,257,0.622047242,0.999999994,0.801282046,4,1,1,0,4.626459144,9,entertainment,friday,1
294,1,1,11,9,328,0.609756096,0.999999995,0.793650789,11,0,,0,4.951219512,7,technology,friday,1
295,1,1,11,10,204,0.682051279,0.999999993,,7,2,1,0,5.220588235,6,bussiness,friday,1
296,1,1,11,10,230,0.654867254,0.999999992,,3,1,1,0,4.343478261,5,lifestyle,friday,0
297,1,1,11,12,996,0.413793103,,0.533751961,21,20,25,0,4.669678715,10,technology,friday,1
298,1,1,11,13,578,0.47368421,,0.599999998,4,3,19,1,4.664359862,8,technology,friday,0
299,1,1,11,11,1175,0.40207075,,,23,23,20,0,4.573617021,9,technology,friday,0
300,1,1,11,11,291,0.620209057,0.999999994,0.812865492,9,1,1,0,4.556701031,7,world,friday,1
301,1,1,11,10,416,0.543902438,0.999999996,0.710084031,8,5,0,0,4.78125,6,world,friday,1
302,1,1,11,8,208,0.67307692,0.999999993,,4,0,1,0,5.264423077,8,world,friday,1
303,1,1,11,11,151,0.710344823,0.999999988,0.788235285,5,1,0,0,4.40397351,9,social media,friday,1
304,1,1,11,12,337,0.61198738,,0.726851848,4,2,,11,4.608308605,5,other,friday,0
305,1,1,11,13,178,0.634831457,0.99999999,0.76237623,3,3,1,0,4.342696629,10,technology,friday,0
306,1,1,11,9,787,0.519948519,,0.708333332,16,15,26,0,4.536213469,6,technology,friday,0
307,1,1,11,6,325,0.613003094,0.999999995,0.756345174,1,1,0,0,4.501538462,9,technology,friday,1
309,1,1,11,12,470,0.487124462,0.999999996,,3,,7,0,4.389361702,10,technology,friday,1
310,1,1,11,8,252,0.635593218,0.999999994,0.741935479,4,3,1,10,4.416666667,10,other,friday,1
311,1,1,12,7,203,0.668367344,0.999999992,0.826771647,4,0,1,0,4.980295567,5,world,saturday,1
312,1,1,12,11,351,0.52148997,0.999999995,,9,6,1,0,4.626780627,6,technology,saturday,1
